Data/Hora, Temperatura Interna, Temperatura Externa, Temperatura Referencia, Valor Potenciômetro
02/09/22 17:39:55,29.1,22.2,40.0,100
02/09/22 17:39:56,29.0,22.2,40.0,100
02/09/22 17:39:58,29.0,22.2,40.0,100
02/09/22 17:40:00,29.1,22.2,40.0,100
02/09/22 17:40:01,29.2,22.2,40.0,100
02/09/22 17:40:03,29.2,22.2,40.0,100
02/09/22 17:40:05,29.4,22.2,40.0,100
02/09/22 17:40:06,29.4,22.2,40.0,100
02/09/22 17:40:08,29.5,22.2,40.0,100
02/09/22 17:40:10,29.8,22.2,40.0,100
02/09/22 17:40:11,29.8,22.2,40.0,100
02/09/22 17:40:13,30.0,22.2,40.0,100
02/09/22 17:40:15,30.3,22.2,40.0,100
02/09/22 17:40:16,30.3,22.2,40.0,100
02/09/22 17:40:18,30.7,22.2,40.0,100
02/09/22 17:40:20,31.1,22.2,40.0,100
02/09/22 17:40:21,31.1,22.2,40.0,100
02/09/22 17:40:23,31.5,22.2,40.0,100
02/09/22 17:40:25,31.5,22.2,40.0,100
02/09/22 17:40:26,32.0,22.2,40.0,100
02/09/22 17:40:28,32.4,22.2,40.0,100
02/09/22 17:40:30,32.4,22.2,40.0,100
02/09/22 17:40:31,32.9,22.2,40.0,100
02/09/22 17:40:33,32.9,22.2,40.0,100
02/09/22 17:40:34,33.5,22.2,40.0,100
02/09/22 17:40:36,34.0,22.2,40.0,100
02/09/22 17:40:38,34.0,22.2,40.0,100
02/09/22 17:40:39,34.6,22.2,40.0,100
02/09/22 17:40:41,35.2,22.2,40.0,100
02/09/22 17:40:43,35.2,22.2,40.0,100
02/09/22 17:40:44,35.9,22.2,40.0,100
02/09/22 17:40:46,36.5,22.2,40.0,81
02/09/22 17:40:48,36.5,22.2,40.0,100
02/09/22 17:40:49,37.1,22.2,40.0,73
02/09/22 17:40:51,37.8,22.2,40.0,35
02/09/22 17:40:53,37.8,22.2,40.0,100
02/09/22 17:40:54,38.4,22.2,40.0,25
02/09/22 17:40:56,38.4,22.2,40.0,100
02/09/22 17:40:58,39.0,22.2,40.0,6
02/09/22 17:40:59,39.7,22.2,40.0,-22
02/09/22 17:41:01,39.7,22.2,40.0,69
02/09/22 17:41:03,40.3,22.2,40.0,-32
02/09/22 17:41:04,40.8,22.2,40.0,-31
02/09/22 17:41:06,40.8,22.2,40.0,34
02/09/22 17:41:08,41.4,22.2,40.0,-68
02/09/22 17:41:09,41.9,22.2,40.0,-67
02/09/22 17:41:11,41.9,22.2,40.0,-2
02/09/22 17:41:13,42.4,22.2,40.0,-75
02/09/22 17:41:14,42.4,22.2,40.0,-18
02/09/22 17:41:16,42.8,22.2,40.0,-81
02/09/22 17:41:18,43.0,22.2,40.0,-73
02/09/22 17:41:19,43.0,22.2,40.0,-42
02/09/22 17:41:21,43.3,22.2,40.0,-95
02/09/22 17:41:23,43.3,22.2,40.0,-55
02/09/22 17:41:24,43.6,22.2,40.0,-98
02/09/22 17:41:25,43.6,22.2,40.0,-77
02/09/22 17:41:28,43.6,22.2,40.0,-71
02/09/22 17:41:29,43.8,22.2,40.0,-94
02/09/22 17:41:30,43.8,22.2,40.0,-90
02/09/22 17:41:33,43.8,22.2,40.0,-84
02/09/22 17:41:34,43.8,22.2,40.0,-86
02/09/22 17:41:36,43.8,22.2,40.0,-88
02/09/22 17:41:38,43.8,22.2,40.0,-90
02/09/22 17:41:40,43.8,22.2,40.0,-93
02/09/22 17:41:41,43.7,22.2,40.0,-75
02/09/22 17:41:43,43.7,22.2,40.0,-93
02/09/22 17:41:45,43.6,22.2,40.0,-85
02/09/22 17:41:46,43.6,22.2,40.0,-86
02/09/22 17:41:48,43.6,22.2,40.0,-96
02/09/22 17:41:49,43.4,22.2,40.0,-78
02/09/22 17:41:51,43.4,22.2,40.0,-97
02/09/22 17:41:53,43.2,22.2,40.0,-68
02/09/22 17:41:54,43.1,22.2,40.0,-74
02/09/22 17:41:56,43.1,22.2,40.0,-93
02/09/22 17:41:58,42.9,22.2,40.0,-64
02/09/22 17:41:59,42.8,22.2,40.0,-70
02/09/22 17:42:01,42.8,22.2,40.0,-89
02/09/22 17:42:03,42.7,22.2,40.0,-70
02/09/22 17:42:04,42.5,22.2,40.0,-57
02/09/22 17:42:06,42.5,22.2,40.0,-84
02/09/22 17:42:08,42.3,22.2,40.0,-55
02/09/22 17:42:09,42.2,22.2,40.0,-60
02/09/22 17:42:11,42.2,22.2,40.0,-78
02/09/22 17:42:13,42.1,22.2,40.0,-59
02/09/22 17:42:14,42.1,22.2,40.0,-77
02/09/22 17:42:16,41.9,22.2,40.0,-48
02/09/22 17:42:18,41.7,22.2,40.0,-43
02/09/22 17:42:19,41.7,22.2,40.0,-69
02/09/22 17:42:21,41.6,22.2,40.0,-50
02/09/22 17:42:23,41.6,22.2,40.0,-67
02/09/22 17:42:24,41.4,22.2,40.0,-48
02/09/22 17:42:26,41.3,22.2,40.0,-45
02/09/22 17:42:28,41.3,22.2,40.0,-62
02/09/22 17:42:29,41.2,22.2,40.0,-42
02/09/22 17:42:31,41.1,22.2,40.0,-39
02/09/22 17:42:33,41.1,22.2,40.0,-57
02/09/22 17:42:34,40.9,22.2,40.0,-37
02/09/22 17:42:36,40.8,22.2,40.0,-34
02/09/22 17:42:38,40.8,22.2,40.0,-51
02/09/22 17:42:39,40.8,22.2,40.0,-41
02/09/22 17:42:40,40.8,22.2,40.0,-50
02/09/22 17:42:43,40.6,22.2,40.0,-30
02/09/22 17:42:44,40.6,22.2,40.0,-36
02/09/22 17:42:45,40.6,22.2,40.0,-45
02/09/22 17:42:48,40.4,22.2,40.0,-25
02/09/22 17:42:49,40.4,22.2,40.0,-42
02/09/22 17:42:50,40.4,22.2,40.0,-42
02/09/22 17:42:52,40.2,22.2,45.0,100
02/09/22 17:42:54,40.2,22.2,45.0,100
02/09/22 17:42:55,40.2,22.2,45.0,100
02/09/22 17:42:57,40.2,22.2,50.0,100
02/09/22 17:42:59,40.2,22.2,50.0,100
02/09/22 17:43:00,40.2,22.2,50.0,100
02/09/22 17:43:02,40.4,22.2,50.0,100
02/09/22 17:43:04,40.4,22.2,50.0,100
02/09/22 17:43:05,40.6,22.2,50.0,100
02/09/22 17:43:07,40.6,22.2,50.0,100
02/09/22 17:43:09,40.8,22.2,50.0,100
02/09/22 17:43:10,41.1,22.2,50.0,100
02/09/22 17:43:12,41.1,22.2,50.0,100
02/09/22 17:43:14,41.4,22.2,50.0,100
02/09/22 17:43:15,41.7,22.2,50.0,100
02/09/22 17:43:17,41.7,22.2,50.0,100
02/09/22 17:43:19,42.1,22.2,50.0,100
02/09/22 17:43:20,42.5,22.2,50.0,100
02/09/22 17:43:22,42.5,22.2,50.0,100
02/09/22 17:43:24,42.9,22.2,50.0,100
02/09/22 17:43:25,42.9,22.2,50.0,100
02/09/22 17:43:27,43.4,22.2,50.0,100
02/09/22 17:43:29,43.9,22.2,50.0,100
02/09/22 17:43:30,43.9,22.2,50.0,100
02/09/22 17:43:32,44.4,22.2,50.0,100
02/09/22 17:43:34,44.9,22.2,50.0,100
02/09/22 17:43:35,44.9,22.2,50.0,100
02/09/22 17:43:37,45.4,22.2,50.0,100
02/09/22 17:43:39,46.0,22.2,50.0,100
02/09/22 17:43:40,46.0,22.2,50.0,100
02/09/22 17:43:42,46.6,22.2,50.0,77
02/09/22 17:43:43,46.6,22.2,50.0,100
02/09/22 17:43:45,47.2,22.2,50.0,69
02/09/22 17:43:47,47.8,22.2,50.0,42
02/09/22 17:43:48,47.8,22.2,50.0,100
02/09/22 17:43:50,48.4,22.2,50.0,23
02/09/22 17:43:52,48.4,22.2,50.0,100
02/09/22 17:43:53,49.0,22.2,50.0,15
02/09/22 17:43:55,49.6,22.2,50.0,-12
02/09/22 17:43:57,49.6,22.2,50.0,71
02/09/22 17:43:58,50.2,22.2,50.0,-20
02/09/22 17:44:00,50.7,22.2,50.0,-27
02/09/22 17:44:02,50.7,22.2,50.0,38
02/09/22 17:44:03,51.2,22.2,50.0,-43
02/09/22 17:44:05,51.6,22.2,50.0,-49
02/09/22 17:44:07,51.6,22.2,50.0,7
02/09/22 17:44:08,51.9,22.2,50.0,-44
02/09/22 17:44:10,52.3,22.2,50.0,-65
02/09/22 17:44:12,52.3,22.2,50.0,-16
02/09/22 17:44:13,52.6,22.2,50.0,-69
02/09/22 17:44:15,52.6,22.2,50.0,-29
02/09/22 17:44:17,52.8,22.2,50.0,-51
02/09/22 17:44:18,52.9,22.2,50.0,-56
02/09/22 17:44:20,52.9,22.2,50.0,-42
02/09/22 17:44:22,53.0,22.2,50.0,-64
02/09/22 17:44:23,53.1,22.2,50.0,-59
02/09/22 17:44:25,53.1,22.2,50.0,-53
02/09/22 17:44:27,53.1,22.2,50.0,-65
02/09/22 17:44:28,53.1,22.2,50.0,-48
02/09/22 17:44:30,53.1,22.2,50.0,-58
02/09/22 17:44:32,53.0,22.2,50.0,-50
02/09/22 17:44:33,53.0,22.2,50.0,-60
02/09/22 17:44:35,53.0,22.2,50.0,-62
02/09/22 17:44:37,52.9,22.2,50.0,-53
02/09/22 17:44:38,52.9,22.2,50.0,-63
02/09/22 17:44:39,52.8,22.2,50.0,-45
02/09/22 17:44:42,52.8,22.2,65.0,100
02/09/22 17:44:43,52.7,22.2,65.0,100
02/09/22 17:44:44,52.6,22.2,65.0,100
02/09/22 17:44:46,52.6,22.2,75.0,100
02/09/22 17:44:48,52.7,22.2,75.0,100
02/09/22 17:44:49,52.9,22.2,75.0,100
02/09/22 17:44:51,52.9,22.2,80.0,100
02/09/22 17:44:53,53.1,22.2,80.0,100
02/09/22 17:44:54,53.4,22.2,80.0,100
02/09/22 17:44:56,53.4,22.2,80.0,100
02/09/22 17:44:58,53.8,22.2,80.0,100
02/09/22 17:44:59,53.8,22.2,80.0,100
02/09/22 17:45:01,54.1,22.2,80.0,100
02/09/22 17:45:03,54.4,22.2,80.0,100
02/09/22 17:45:04,54.4,22.2,80.0,100
02/09/22 17:45:06,54.8,22.2,80.0,100
02/09/22 17:45:08,55.2,22.2,80.0,100
02/09/22 17:45:09,55.2,22.2,80.0,100
02/09/22 17:45:11,55.8,22.2,80.0,100
02/09/22 17:45:13,56.2,22.2,80.0,100
02/09/22 17:45:14,56.2,22.2,80.0,100
02/09/22 17:45:16,56.7,22.2,80.0,100
02/09/22 17:45:18,56.7,22.2,80.0,100
02/09/22 17:45:19,57.2,22.2,80.0,100
02/09/22 17:45:21,57.8,22.2,80.0,100
02/09/22 17:45:23,57.8,22.2,80.0,100
02/09/22 17:45:24,58.2,22.2,80.0,100
02/09/22 17:45:26,58.2,22.2,80.0,100
02/09/22 17:45:28,58.8,22.2,80.0,100
02/09/22 17:45:29,59.4,22.2,80.0,100
02/09/22 17:45:31,59.4,22.2,80.0,100
02/09/22 17:45:33,59.9,22.2,80.0,100
02/09/22 17:45:34,60.6,22.2,80.0,100
02/09/22 17:45:36,60.6,22.2,80.0,100
02/09/22 17:45:37,61.1,22.2,80.0,100
02/09/22 17:45:39,61.8,22.2,80.0,100
02/09/22 17:45:41,61.8,22.2,80.0,100
02/09/22 17:45:42,62.4,22.2,80.0,100
02/09/22 17:45:44,62.4,22.2,80.0,100
02/09/22 17:45:46,63.0,22.2,80.0,100
02/09/22 17:45:47,63.6,22.2,80.0,100
02/09/22 17:45:49,63.6,22.2,80.0,100
02/09/22 17:45:51,64.2,22.2,80.0,100
02/09/22 17:45:52,64.9,22.2,80.0,100
02/09/22 17:45:54,64.9,22.2,80.0,100
02/09/22 17:45:56,65.6,22.2,80.0,100
02/09/22 17:45:57,66.1,22.2,80.0,100
02/09/22 17:45:59,66.1,22.2,80.0,100
02/09/22 17:46:01,66.8,22.2,80.0,100
02/09/22 17:46:02,66.8,22.2,80.0,100
02/09/22 17:46:04,67.5,22.2,80.0,100
02/09/22 17:46:06,68.1,22.2,80.0,100
02/09/22 17:46:07,68.1,22.2,80.0,100
02/09/22 17:46:09,68.8,22.2,80.0,100
02/09/22 17:46:11,68.8,22.2,80.0,100
02/09/22 17:46:12,69.4,22.2,80.0,100
02/09/22 17:46:14,70.1,22.2,80.0,100
02/09/22 17:46:16,70.1,22.2,80.0,100
02/09/22 17:46:17,70.8,22.2,80.0,100
02/09/22 17:46:19,71.4,22.2,80.0,100
02/09/22 17:46:21,71.4,22.2,80.0,100
02/09/22 17:46:22,72.1,22.2,80.0,100
02/09/22 17:46:24,72.7,22.2,80.0,100
02/09/22 17:46:26,72.7,22.2,80.0,100
02/09/22 17:46:27,73.3,22.2,80.0,100
02/09/22 17:46:28,73.3,22.2,80.0,100
02/09/22 17:46:31,73.9,22.2,80.0,100
02/09/22 17:46:32,74.6,22.2,80.0,100
02/09/22 17:46:33,74.6,22.2,80.0,100
02/09/22 17:46:35,75.2,22.2,80.0,100
02/09/22 17:46:37,75.9,22.2,80.0,100
02/09/22 17:46:38,75.9,22.2,80.0,100
02/09/22 17:46:40,76.6,22.2,80.0,71
02/09/22 17:46:42,77.2,22.2,80.0,61
02/09/22 17:46:43,77.2,22.2,80.0,100
02/09/22 17:46:45,77.8,22.2,80.0,42
02/09/22 17:46:47,77.8,22.2,80.0,100
02/09/22 17:46:48,78.4,22.2,80.0,23
02/09/22 17:46:50,79.1,22.2,80.0,4
02/09/22 17:46:52,79.1,22.2,80.0,88
02/09/22 17:46:53,79.6,22.2,80.0,-3
02/09/22 17:46:55,79.6,22.2,80.0,71
02/09/22 17:46:57,80.1,22.2,80.0,-10
02/09/22 17:46:58,80.6,22.2,80.0,-25
02/09/22 17:47:00,80.6,22.2,80.0,40
02/09/22 17:47:02,81.0,22.2,80.0,-21
02/09/22 17:47:03,81.4,22.2,80.0,-33
02/09/22 17:47:05,81.4,22.2,80.0,15
02/09/22 17:47:07,81.7,22.2,80.0,-36
02/09/22 17:47:08,82.0,22.2,80.0,-46
02/09/22 17:47:10,82.0,22.2,80.0,-6
02/09/22 17:47:12,82.2,22.2,80.0,-38
02/09/22 17:47:13,82.2,22.2,80.0,-14
02/09/22 17:47:15,82.4,22.2,80.0,-46
02/09/22 17:47:17,82.4,22.2,80.0,-33
02/09/22 17:47:18,82.4,22.2,80.0,-26
02/09/22 17:47:20,82.5,22.2,80.0,-38
02/09/22 17:47:21,82.5,22.2,80.0,-31
02/09/22 17:47:23,82.5,22.2,80.0,-32
02/09/22 17:47:25,82.5,22.2,80.0,-34
02/09/22 17:47:26,82.5,22.2,80.0,-35
02/09/22 17:47:28,82.5,22.2,80.0,-37
02/09/22 17:47:30,82.4,22.2,80.0,-28
02/09/22 17:47:31,82.4,22.2,80.0,-38
02/09/22 17:47:33,82.4,22.2,80.0,-29
02/09/22 17:47:35,82.4,22.2,80.0,-39
02/09/22 17:47:36,82.3,22.2,80.0,-30
02/09/22 17:47:38,82.1,22.2,80.0,-9
02/09/22 17:47:40,82.1,22.2,80.0,-35
02/09/22 17:47:41,82.0,22.2,80.0,-16
02/09/22 17:47:43,81.8,22.2,80.0,-3
02/09/22 17:47:45,81.8,22.2,80.0,-29
02/09/22 17:47:46,81.6,22.2,80.0,0
02/09/22 17:47:48,81.4,22.2,80.0,4
02/09/22 17:47:50,81.4,22.2,80.0,-21
02/09/22 17:47:51,81.3,22.2,80.0,-1
02/09/22 17:47:53,81.3,22.2,80.0,-19
02/09/22 17:47:55,81.1,22.2,80.0,10
02/09/22 17:47:56,80.9,22.2,80.0,15
02/09/22 17:47:58,80.9,22.2,80.0,-9
02/09/22 17:48:00,80.8,22.2,80.0,10
02/09/22 17:48:01,80.6,22.2,80.0,23
02/09/22 17:48:03,80.6,22.2,80.0,-1
02/09/22 17:48:05,80.4,22.2,80.0,28
02/09/22 17:48:06,80.3,22.2,80.0,23
02/09/22 17:48:07,80.3,22.2,80.0,7
02/09/22 17:48:10,80.2,22.2,80.0,27
02/09/22 17:48:11,80.2,22.2,80.0,10
02/09/22 17:48:12,80.1,22.2,80.0,31
02/09/22 17:48:14,79.9,22.2,80.0,34
02/09/22 17:48:16,79.9,22.2,80.0,18
02/09/22 17:48:17,79.9,22.2,80.0,28
02/09/22 17:48:19,79.9,22.2,80.0,20
02/09/22 17:48:21,79.8,22.2,80.0,30
02/09/22 17:48:22,79.7,22.2,80.0,42
02/09/22 17:48:24,79.7,22.2,80.0,26
02/09/22 17:48:26,79.6,22.2,80.0,36
02/09/22 17:48:27,79.6,22.2,80.0,38
02/09/22 17:48:29,79.6,22.2,80.0,30
02/09/22 17:48:31,79.6,22.2,80.0,31
02/09/22 17:48:32,79.5,22.2,80.0,41
02/09/22 17:48:34,79.5,22.2,80.0,33
02/09/22 17:48:36,79.5,22.2,80.0,33
02/09/22 17:48:37,79.5,22.2,80.0,34
02/09/22 17:48:39,79.5,22.2,80.0,34
02/09/22 17:48:41,79.4,22.2,80.0,45
02/09/22 17:48:42,79.4,22.2,80.0,37
02/09/22 17:48:44,79.4,22.2,80.0,37
02/09/22 17:48:46,79.4,22.2,80.0,37
02/09/22 17:48:47,79.4,22.2,80.0,38
02/09/22 17:48:49,79.4,22.2,80.0,38
02/09/22 17:48:51,79.4,22.2,80.0,38
02/09/22 17:48:52,79.4,22.2,80.0,39
02/09/22 17:48:54,79.4,22.2,80.0,39
02/09/22 17:48:56,79.4,22.2,80.0,39
02/09/22 17:48:57,79.5,22.2,80.0,29
02/09/22 17:48:59,79.5,22.2,80.0,38
02/09/22 17:49:00,79.5,22.2,80.0,38
02/09/22 17:49:02,79.5,22.2,80.0,39
02/09/22 17:49:04,79.5,22.2,80.0,39
02/09/22 17:49:05,79.6,22.2,80.0,29
02/09/22 17:49:07,79.6,22.2,80.0,27
02/09/22 17:49:09,79.6,22.2,80.0,36
02/09/22 17:49:10,79.6,22.2,80.0,36
02/09/22 17:49:12,79.6,22.2,80.0,36
02/09/22 17:49:14,79.6,22.2,80.0,36
02/09/22 17:49:15,79.7,22.2,80.0,26
02/09/22 17:49:17,79.8,22.2,80.0,25
02/09/22 17:49:19,79.8,22.2,80.0,33
02/09/22 17:49:20,79.8,22.2,80.0,23
02/09/22 17:49:22,79.8,22.2,80.0,32
02/09/22 17:49:24,79.8,22.2,80.0,32
02/09/22 17:49:25,79.9,22.2,80.0,22
