Data/Hora, Temperatura Interna, Temperatura Externa, Temperatura Referencia, Valor Potenciômetro
02/09/22 08:05:09,22.7,22.2,45.0,100
02/09/22 08:05:11,22.6,22.2,45.0,100
02/09/22 08:05:13,22.7,22.2,45.0,100
02/09/22 08:05:15,22.8,22.2,45.0,100
02/09/22 08:05:17,22.8,22.2,45.0,100
02/09/22 08:05:19,22.8,22.2,45.0,100
02/09/22 08:05:21,23.0,22.2,45.0,100
02/09/22 08:05:23,23.1,22.2,45.0,100
02/09/22 08:05:25,23.4,22.2,45.0,100
02/09/22 08:05:27,23.4,22.2,45.0,100
02/09/22 08:05:29,23.7,22.2,45.0,100
02/09/22 08:05:31,24.1,22.2,45.0,100
02/09/22 08:05:33,24.4,22.2,45.0,100
02/09/22 08:05:35,24.8,22.2,45.0,100
02/09/22 08:05:37,24.8,22.2,45.0,100
02/09/22 08:05:39,25.2,22.2,45.0,100
02/09/22 08:05:41,25.7,22.2,45.0,100
02/09/22 08:05:43,26.1,22.2,45.0,100
02/09/22 08:05:45,26.1,22.2,45.0,100
02/09/22 08:05:47,26.7,22.2,45.0,100
02/09/22 08:05:49,27.2,22.2,45.0,100
02/09/22 08:05:51,27.8,22.2,45.0,100
02/09/22 08:05:53,28.4,22.2,45.0,100
02/09/22 08:05:56,28.4,22.2,45.0,100
02/09/22 08:05:58,29.0,22.2,45.0,100
02/09/22 08:06:00,29.6,22.2,45.0,100
02/09/22 08:06:02,30.2,22.2,45.0,100
02/09/22 08:06:04,30.2,22.2,45.0,100
02/09/22 08:06:06,30.9,22.2,45.0,100
02/09/22 08:06:08,31.6,22.2,45.0,100
02/09/22 08:06:10,32.2,22.2,45.0,100
02/09/22 08:06:12,32.9,22.2,45.0,100
02/09/22 08:06:14,32.9,22.2,45.0,100
02/09/22 08:06:16,33.7,22.2,45.0,100
02/09/22 08:06:18,34.4,22.2,45.0,100
02/09/22 08:06:20,35.2,22.2,45.0,100
02/09/22 08:06:22,35.2,22.2,45.0,100
02/09/22 08:06:24,35.9,22.2,45.0,100
02/09/22 08:06:26,36.6,22.2,45.0,100
02/09/22 08:06:28,37.4,22.2,45.0,100
02/09/22 08:06:30,38.1,22.2,45.0,100
02/09/22 08:06:32,38.1,22.2,45.0,100
02/09/22 08:06:34,38.9,22.2,45.0,100
02/09/22 08:06:36,39.7,22.2,45.0,100
02/09/22 08:06:38,40.4,22.2,45.0,96
02/09/22 08:06:40,40.4,22.2,45.0,100
02/09/22 08:06:42,41.2,22.2,45.0,64
02/09/22 08:06:44,42.0,22.2,45.0,50
02/09/22 08:06:46,42.8,22.2,45.0,17
02/09/22 08:06:48,43.5,22.2,45.0,13
02/09/22 08:06:50,43.5,22.2,45.0,100
02/09/22 08:06:52,44.2,22.2,45.0,-17
02/09/22 08:06:54,44.9,22.2,45.0,-29
02/09/22 08:06:56,45.6,22.2,45.0,-50
02/09/22 08:06:58,45.6,22.2,45.0,40
02/09/22 08:07:00,46.2,22.2,45.0,-62
02/09/22 08:07:02,46.8,22.2,45.0,-61
02/09/22 08:07:05,47.2,22.2,45.0,-78
02/09/22 08:07:07,47.7,22.2,45.0,-84
02/09/22 08:07:09,47.7,22.2,45.0,-27
02/09/22 08:07:11,48.0,22.2,45.0,-80
02/09/22 08:07:13,48.2,22.2,45.0,-71
02/09/22 08:07:15,48.4,22.2,45.0,-89
02/09/22 08:07:17,48.4,22.2,45.0,-58
02/09/22 08:07:19,48.6,22.2,45.0,-80
02/09/22 08:07:21,48.7,22.2,45.0,-86
02/09/22 08:07:23,48.8,22.2,45.0,-92
02/09/22 08:07:25,48.8,22.2,45.0,-78
02/09/22 08:07:27,48.8,22.2,45.0,-80
02/09/22 08:07:29,48.8,22.2,45.0,-82
02/09/22 08:07:31,48.8,22.2,45.0,-74
02/09/22 08:07:33,48.8,22.2,45.0,-85
02/09/22 08:07:35,48.8,22.2,45.0,-87
02/09/22 08:07:37,48.6,22.2,45.0,-69
02/09/22 08:07:39,48.6,22.2,45.0,-78
02/09/22 08:07:41,48.4,22.2,45.0,-68
02/09/22 08:07:43,48.3,22.2,45.0,-66
02/09/22 08:07:45,48.3,22.2,45.0,-84
02/09/22 08:07:47,48.2,22.2,45.0,-66
02/09/22 08:07:49,48.1,22.2,45.0,-64
02/09/22 08:07:51,47.9,22.2,45.0,-52
02/09/22 08:07:53,47.9,22.2,45.0,-79
02/09/22 08:07:55,47.8,22.2,45.0,-60
02/09/22 08:07:57,47.6,22.2,45.0,-47
02/09/22 08:07:59,47.4,22.2,45.0,-53
02/09/22 08:08:01,47.3,22.2,45.0,-51
02/09/22 08:08:03,47.3,22.2,45.0,-69
02/09/22 08:08:05,47.2,22.2,45.0,-50
02/09/22 08:08:07,47.0,22.2,45.0,-37
02/09/22 08:08:09,46.9,22.2,45.0,-43
02/09/22 08:08:12,46.9,22.2,45.0,-61
02/09/22 08:08:14,46.7,22.2,45.0,-31
02/09/22 08:08:16,46.6,22.2,45.0,-37
02/09/22 08:08:18,46.4,22.2,45.0,-34
02/09/22 08:08:20,46.3,22.2,45.0,-31
02/09/22 08:08:22,46.3,22.2,45.0,-48
02/09/22 08:08:24,46.2,22.2,45.0,-29
02/09/22 08:08:26,46.1,22.2,45.0,-25
02/09/22 08:08:28,45.9,22.2,45.0,-22
02/09/22 08:08:30,45.9,22.2,45.0,-39
02/09/22 08:08:32,45.8,22.2,45.0,-20
02/09/22 08:08:34,45.7,22.2,45.0,-16
02/09/22 08:08:36,45.6,22.2,45.0,-13
02/09/22 08:08:38,45.4,22.2,45.0,-9
02/09/22 08:08:40,45.4,22.2,45.0,-26
02/09/22 08:08:42,45.3,22.2,45.0,-6
02/09/22 08:08:44,45.1,22.2,45.0,7
02/09/22 08:08:46,45.0,22.2,45.0,2
02/09/22 08:08:48,45.0,22.2,45.0,-13
